ItemNum,ItemName,Dept_ID,Category_ID,Category_Name
090600001057,MALIBU MENTHOL 100 PK,2,CGRTPACK,CIGRT PACK
090600001446,FORTUNA MEN LT 100 BX CTN,3,1,CIG CARTON
090600001460,FORTUNA MEN LT BX CTN,3,1,CIG CARTON
090600010004,MONTCLAIR BLACK KING,3,1,CIG CARTON
090600010202,CROWN RED 100s,6,PRMCIGAR,PREMIUM CIGAR
090600010219,MALIBU BOLD KING,3,1,CIG CARTON
090600010226,MALIBU BOLD 100,3,1,CIG CARTON
090600010233,MALIBU SMOOTH KING,3,1,CIG CARTON
090600010240,MALIBU SMOOTH 100,3,1,CIG CARTON
090600010257,MALIBU MENTHOL KING,3,1,CIG CARTON
090600010264,MALIBU MENTHOL 100,3,1,CIG CARTON
090600243754,BALI SHAG RED POUCH,1,NONE,NONE
090600301690,SONOMA MENTHOL 100 BOX,3,1,CIG CARTON
090600301768,SONOMA RED BOX,3,1,CIG CARTON
090600301775,SONOMA RED 100 CARTON,3,1,CIG CARTON
090600301782,SONOMA MEN GLD 100 SFT CTN,3,1,CIG CARTON
090600301843,SONOMA GOLD BOX,3,1,CIG CARTON
090600301850,SONOMA GOLD 100 BOX CTN,3,1,CIG CARTON
090600301935,MONTCLAIR BLK 100BX CTN,3,1,CIG CARTON
090600301959,MONTCLAIR BLUE 100BX CTN,3,1,CIG CARTON
090600301966,MONTCLAIR SILVER 100BX CTN,3,1,CIG CARTON
090600301973,MONTCLAIR MENTHOL 100BX CTN,3,1,CIG CARTON
090600391608,CROWN FF KING,2,CGRTPACK,CIGRT PACK
090600391615,CROWNS GOLD MENTHOL KINGS,2,CGRTPACK,CIGRT PACK
090600391622,CROWN GOLD KING BOX,2,CGRTPACK,CIGRT PACK
090600391646,CROWN MENTHOL LIGHT KING PACK,2,CGRTPACK,CIGRT PACK
090600391660,CROWN FF 100 BOX,2,CGRTPACK,CIGRT PACK
090600391677,CROWN GREEN DARK 100,2,CGRTPACK,CIGRT PACK
090600391684,CROWN GOLD 100,2,CGRTPACK,CIGRT PACK
090600391691,CROWN BLUE 100S,2,CGRTPACK,CIGRT PACK
090600391707,CROWN MENTHOL GREEN 100,2,CGRTPACK,CIGRT PACK
090600392605,CROWN FF KING,3,1,CIG CARTON
090600392612,CROWN MENTHOL KING,3,1,CIG CARTON
090600392629,CROWN GOLD KING BOX,3,1,CIG CARTON
090600392643,CROWN MENTHOLGREEN KING,3,1,CIG CARTON
090600392667,CROWN FF 100 BOX,3,1,CIG CARTON
090600392674,CROWN MENTHOL DARK 100,3,1,CIG CARTON
090600392681,CROWN GOLD 100,3,1,CIG CARTON
090600392698,CROWN BLUE 100,3,1,CIG CARTON
090600392704,CROWN MENTHOL GREEN 100,3,1,CIG CARTON
090600452750,BALI SHAG BLUE CAN,1,NONE,NONE
090600452859,BALI SHAG RED CAN,1,NONE,NONE
090600452903,BALI SHAG CREAM POUCH,1,NONE,NONE
090600452958,BALI SHAG CREAM CAN,1,NONE,NONE
090600530861,BALI SHAG BLUE POUCH,1,NONE,NONE
091037445001,HIGH VOLTAGE DOUBLE FLUSH DETO,5,NOVELTY,NOVELTY
091037445025,HIGH VOLTAGE DOUBLE FLUSH DETO,5,NOVELTY,NOVELTY
091037445995,STREAM SYNTHETIC URINE,5,NOVELTY,NOVELTY
091585041137,CLIPPER LIGHTER,5,NOVELTY,NOVELTY
091585041175,CLIPPER MICRO MINI LIGHTER,5,NOVELTY,NOVELTY
092022091012,EMAMI CIGARS FRESH PACK,6,PRMCIGAR,PREMIUM CIGAR
093314360182,KING BUTANE TALL CAN,5,NOVELTY,NOVELTY
097868127390,BLUNT LIFE JUMBO,5,NOVELTY,NOVELTY
0987,CONE BURNER,5,NOVELTY,NOVELTY
0989,INCENSE BURNER,5,NOVELTY,NOVELTY
0995,INCENSE GIFT PACK,5,NOVELTY,NOVELTY
0999,CH-BO7,5,NOVELTY,NOVELTY
0JO123,AYLUM 13 OGRE 70X7,6,PRMCIGAR,PREMIUM CIGAR
10,METAL BAT LONG,5,NOVELTY,NOVELTY
100,M356 RONDO,6,PRMCIGAR,PREMIUM CIGAR
100001,FISHBONE RDA,5,NOVELTY,NOVELTY
10000195,CHOCOLATE STRAWBERRY 50G,HOOKAH,NONE,NONE
10000223,ROSE 50G,HOOKAH,NONE,NONE
10001,NO7 E-LIQUID,5,NOVELTY,NOVELTY
1000100008332,FUTUROLA PARTY SIZE CONE,1,NONE,NONE
1000100008349,FUTUROLA XL SIZE CONE,1,NONE,NONE
1000100008356,FUTUROLA MEGA XXL CONE,1,NONE,NONE
1000109,PINA COLADA 50G,HOOKAH,NONE,NONE
1003022,last call habano pequnas,6,PRMCIGAR,PREMIUM CIGAR
1003023,LAST CALL MADURO,6,PRMCIGAR,PREMIUM CIGAR
100303,LEAF MADURO TORO,6,PRMCIGAR,PREMIUM CIGAR
100304,LEAF CONNEC TORO,6,PRMCIGAR,PREMIUM CIGAR
100305,LEAF SUMATRA TORA,6,PRMCIGAR,PREMIUM CIGAR
100312,TABERNACLE HAVANA CT ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
100320,PROJECT 40 TORO SAMPLER,6,PRMCIGAR,PREMIUM CIGAR
100780,AGANORSA LEAF MAD ROBUSTO,6,PRMCIGAR,PREMIUM CIGAR
100789,AGANORSA SUPREME COROJO ROBUST,6,PRMCIGAR,PREMIUM CIGAR
101,ROCKY LIGHTER,5,NOVELTY,NOVELTY
1010101,CIGAR BOX,5,NOVELTY,NOVELTY
10101010,VARIETY E JUICE PK - 12cts,5,NOVELTY,NOVELTY
1010102,CIGAR BOX,5,NOVELTY,NOVELTY
1010103,CIGAR BOX,5,NOVELTY,NOVELTY
1010104,CIGAR BOX,5,NOVELTY,NOVELTY
1010105,CIGAR BOX,5,NOVELTY,NOVELTY
1010106,CIGAR BOX,5,NOVELTY,NOVELTY
1010107,CIGAR BOX,5,NOVELTY,NOVELTY
101012,AF CURLY HEAD NATURAL,6,PRMCIGAR,PREMIUM CIGAR
101013,AF CURLY HEAD MADURO,6,PRMCIGAR,PREMIUM CIGAR
10101456,AF CANONES MADURO,6,PRMCIGAR,PREMIUM CIGAR
101051002965,exus slim battery,5,NOVELTY,NOVELTY
1011,MONTESINO,6,PRMCIGAR,PREMIUM CIGAR
101101,LFD SALOMON UNICO,6,PRMCIGAR,PREMIUM CIGAR
101415,AGANORSA LEAF MAD 6.5X50,6,PRMCIGAR,PREMIUM CIGAR
101416,AGANORSA LEAF COROJO 6.5X50,6,PRMCIGAR,PREMIUM CIGAR
1017,BLANCO,6,PRMCIGAR,PREMIUM CIGAR
101903152343,BD D9 CUBE PACKS OF 2,5,NOVELTY,NOVELTY
102012,2012 toro barber pole,6,PRMCIGAR,PREMIUM CIGAR
102013,MIAMI 2015 COROJO 6X56,6,PRMCIGAR,PREMIUM CIGAR
102019000214,BD 2ML BLUE DREAM,5,NOVELTY,NOVELTY
102019000221,BD 2ML SUPERSOUR DISSEL,5,NOVELTY,NOVELTY
102019000238,BD 2ML WATER SKEDDELZZ,5,NOVELTY,NOVELTY
102019009033,BD 750 GUMMY,5,NOVELTY,NOVELTY
102019009040,BD D9 150MG CHOCLATE,5,NOVELTY,NOVELTY
102019106022,black diamond choc 560mg 54pcs,5,NOVELTY,NOVELTY
102041,LAHISTORIA DON ELENA,6,PRMCIGAR,PREMIUM CIGAR
102042,LAHISTORIA EL SENADOR,6,PRMCIGAR,PREMIUM CIGAR
105232,CRAFTED BY JAIME GARCIA ROBUST,6,PRMCIGAR,PREMIUM CIGAR
10609,HVC BLACKFRIDAY ROBUSTO EXTRA,6,PRMCIGAR,PREMIUM CIGAR
1086096,LUNATIC TORCH 7X50,6,PRMCIGAR,PREMIUM CIGAR
11,BRASS- PIPE SCREENS 5cts,5,NOVELTY,NOVELTY
11.99SPINNER,LED SPINNNER,5,NOVELTY,NOVELTY
110,BasicTM Cigar Cutter,5,NOVELTY,NOVELTY
1100,SHORT PK RED,5,NOVELTY,NOVELTY
1101,B.M.MENTHOL 30ML,5,NOVELTY,NOVELTY
1102,B.M.FF 24MG,5,NOVELTY,NOVELTY
1103,B.M.LIGHT 100,5,NOVELTY,NOVELTY
11032,B.M. LIGHT 100S BIG BOTTLE,5,NOVELTY,NOVELTY
111,FancyTM Cigar Cutter,5,NOVELTY,NOVELTY
1110,BRASS SCREEN 10PCS,5,NOVELTY,NOVELTY
