ItemNum,ItemName,Dept_ID,Cost,Category_ID,Category_Name,AltSku
017082883889,JACK LINKS SWEET & HOT JERKY,9,0.00000000,NONE,NONE,
017082883896,JACK LINKS TERIYAKI 3.25,9,0.00000000,NONE,NONE,
017082883902,JACK LINKS JAL BEEF JERKY 3.25,9,0.00000000,NONE,NONE,
017082883919,JACK LINKS ORIGINAL 3.25,9,0.00000000,NONE,NONE,
017082883926,JACK LINKS PEPPERED 3.25,9,0.00000000,NONE,NONE,
017082885845,JACK LINKS ORIG BEEF JERKY,9,0.00000000,NONE,NONE,
017082885852,JACK LINKS BEEF TENDER BITES T,9,0.00000000,NONE,NONE,
018230,VT75 MOD,3,34.50000000,NONE,NONE,002307
019213583774,TWIST RED NO.1,10,0.00000000,NONE,NONE,
019213583781,TWIST RED NO.1  50MG,SALT NIC,0.00000000,NONE,NONE,
01928345,TFV16 REPLACEMENT GALSS SMOK,8,0.00000000,NONE,NONE,6940695631070
019951995234,HEMP TINCTURE 500MG,CBD,0.00000000,NONE,NONE,810015390337
019962815140,CBD EDIBLES,8,0.00000000,NONE,NONE,
021136010374,TOPO CHICO MINERAL WATER 12 OZ,9,0.00000000,NONE,NONE,
021893839645,Hawaiian Pog 50mg,SALT NIC,0.00000000,NONE,NONE,
021893839683,Lava Flow 50mg,SALT NIC,0.00000000,NONE,NONE,
021893839805,MELON KIWI 35MG,SALT NIC,0.00000000,NONE,NONE,
021893839812,Melon Kiwi 50mg,SALT NIC,0.00000000,NONE,NONE,
021893839928,Really Berrry 35mg,SALT NIC,0.00000000,NONE,NONE,
021893840092,MENTHOL MELON 35MG,SALT NIC,0.00000000,NONE,NONE,
021893840108,MELON MENTHOL 50MG,SALT NIC,0.00000000,NONE,NONE,
021893840146,Mint 35mg,SALT NIC,0.00000000,NONE,NONE,
021893840153,Mint 50mg,SALT NIC,0.00000000,NONE,NONE,
021893840153Q,NKD 100 MINT 50 MG,SALT NIC,0.00000000,NONE,NONE,
021893840184,Menthol Stawberry Pom 35mg,SALT NIC,0.00000000,NONE,NONE,
021893840191,STRAWBERRY POM MENTHOL 50MG,SALT NIC,0.00000000,NONE,NONE,
021893840221,American Patriots 35mg,SALT NIC,0.00000000,NONE,NONE,
021893840238,American Patriots 50mg,SALT NIC,0.00000000,NONE,NONE,
021893840269,Cuban Blend 35mg,SALT NIC,0.00000000,NONE,NONE,
021893840283,Cuban blend 50mg,SALT NIC,0.00000000,NONE,NONE,
021893840313,Euro Gold 35mg,SALT NIC,0.00000000,NONE,NONE,
021893840320,EURO GOLD 50MG,SALT NIC,0.00000000,NONE,NONE,
022000005120,5 PEPPERMINT COBALT GUM,9,0.00000000,NONE,NONE,
022000005144,5 SPEARMINT RAIN GUM,9,0.00000000,NONE,NONE,
022000013200,ECLIPSE GUM,9,0.00000000,NONE,NONE,
022000013316,ECLIPSE GUM,9,0.00000000,NONE,NONE,
022000159342,ALTOIDS,9,0.00000000,NONE,NONE,
022592007014,OZARKA SMALL WATER,9,0.00000000,NONE,NONE,
02266503,WRIGLEY SPEARMINT GUM,9,0.00000000,NONE,NONE,
02266600,WRIGLEYS DOUBLEMINT GUM,9,0.00000000,NONE,NONE,
02266804,WRIGLEYS BIG RED GUM,9,0.00000000,NONE,NONE,
02266901,WRIGLEYS WINTERFRESH GUM,9,0.00000000,NONE,NONE,
02283801,EXTRA SWEET WATERMELON GUM,9,0.00000000,NONE,NONE,
02284509,EXTRA CLASSIC BUBBLEGUM GUM,9,0.00000000,NONE,NONE,
02289106,EXTRA PEPPERMINT GUM,9,0.00000000,NONE,NONE,
02289805,EXTRA POLAR ICE GUM,9,0.00000000,NONE,NONE,
02289902,EXTRA SPEARMINT GUM,9,0.00000000,NONE,NONE,
023867979494,Kush Burst D8 Watermelon Bliss,CBD,0.00000000,NONE,NONE,023867979494
023867979586,Kust Burst D8 Blue Raspberry,CBD,0.00000000,NONE,NONE,023867979586
023942394023,PUFF MINI ENERGY DRINK,ZIIPLAB,0.00000000,NONE,NONE,
024589790923,SILVER BACK JENNY,10,0.00000000,NONE,NONE,024589790930
024589790947,SILVER BACK SANDY,10,0.00000000,NONE,NONE,024589790954
024589790961,SILVER BACK ROCKY,10,0.00000000,NONE,NONE,024589790978
024589790985,SILVER BACK BOOBOO,10,0.00000000,NONE,NONE,024589790992
024589791005,SILVER BACK LOLA,10,0.00000000,NONE,NONE,024589791012
024589791029,SILVER BACK AMY,10,0.00000000,NONE,NONE,
024589791036,SILVER BACK AMY 6MG 1220ML,10,0.00000000,NONE,NONE,
024589791043,SILVER BACK HARAMBE,10,0.00000000,NONE,NONE,024589791050
025000066016,MINUTE MAID STRAW LEMONADE FZN,9,0.00000000,NONE,NONE,
025900225452,SWISHER COOKIES&CREAM 2/$1.39,TOBACCO,0.00000000,NONE,NONE,
025900236762,SWISHER BLK $1.49 COCOA,TOBACCO,0.00000000,NONE,NONE,
025900236878,SWISHER BLK $1.49 SMOOTH,TOBACCO,0.00000000,NONE,NONE,
025900236885,SWISHER BLK $1.49 CHERRY,TOBACCO,0.00000000,NONE,NONE,
025900236892,SWISHER BLK $1.49 GRAPE,TOBACCO,0.00000000,NONE,NONE,
025900236908,SWISHER BLK $1.49 BERRY,TOBACCO,0.00000000,NONE,NONE,
025900236915,SWISHER BLK $1.49 WINE,TOBACCO,0.00000000,NONE,NONE,
025900255657,MANGO BLAZE 2 FOR 1.39,TOBACCO,0.00000000,NONE,NONE,
025900442538,DIAMONDS 2 FOR 1.39,TOBACCO,0.00000000,NONE,NONE,
025900445522,CLASSIC 2 FOR 1.39,TOBACCO,0.00000000,NONE,NONE,
025900445546,GRAPE 2 FOR 1.39,TOBACCO,0.00000000,NONE,NONE,
025900445553,SWISHER GREEN  2/$1.39,TOBACCO,0.00000000,NONE,NONE,
025900445560,SWISHER BLUEBERRY 2/$1.39,TOBACCO,0.00000000,NONE,NONE,
025900445584,SWISHER CREAM 2/$1.39,TOBACCO,0.00000000,NONE,NONE,
025900445591,SWISHER STRAWBERRY 2/$1.39,TOBACCO,0.00000000,NONE,NONE,
025900445607,TROPICAL FUSION 2 FOR 1.39,TOBACCO,0.00000000,NONE,NONE,
025900445614,SWISHER WILDRUSH 2/$1.39,TOBACCO,0.00000000,NONE,NONE,
025900445621,WHITE GRAPE 2 FOR 1.39,TOBACCO,0.00000000,NONE,NONE,
025900445638,SWISHER PEACH 2/$1.39,TOBACCO,0.00000000,NONE,NONE,
025900445652,SWISHER BANANA SMASH  2/$1.39,TOBACCO,0.00000000,NONE,NONE,
025900445676,HONEY BANANA 2 FOR 1.39,TOBACCO,0.00000000,NONE,NONE,
026200117003,SLIM JIM ORIG GIANT SLIM,9,0.00000000,NONE,NONE,
026200117508,SLIM JIM GIANT MILD,9,0.00000000,NONE,NONE,
026200140605,SLIM JIM OG MONSTER SIZE,9,0.00000000,NONE,NONE,
